task,source,subject,pre_acc,pre_auc,rand_acc,rand_auc
left_right,predictor_mean,12,0.6222222222222222,0.6587301587301588,0.6222222222222222,0.7361111111111112
left_right,predictor_mean,13,0.6222222222222222,0.6600790513833993,0.6222222222222222,0.6758893280632411
left_right,predictor_mean,14,0.5777777777777777,0.5830039525691699,0.4888888888888889,0.5
left_right,predictor_mean,15,0.6222222222222222,0.6699604743083004,0.6888888888888889,0.7747035573122529
left_right,predictor_mean,16,0.6,0.5928853754940712,0.5555555555555556,0.6106719367588933
left_right,predictor_mean,17,0.6444444444444445,0.6521739130434783,0.5777777777777777,0.6719367588932806
left_right,predictor_mean,18,0.7333333333333333,0.7707509881422925,0.7555555555555555,0.8142292490118577
left_right,predictor_mean,19,0.6,0.6640316205533597,0.4444444444444444,0.5355731225296443
left_right,predictor_mean,20,0.6666666666666666,0.691699604743083,0.6444444444444445,0.6640316205533597
left_right,both_mean,1,0.6888888888888889,0.7411067193675889,0.6,0.592885375494071
left_right,both_mean,2,0.6,0.6264822134387352,0.5111111111111111,0.5671936758893281
left_right,both_mean,3,0.7333333333333333,0.733201581027668,0.6666666666666666,0.7312252964426877
left_right,both_mean,4,0.6444444444444445,0.7233201581027667,0.5555555555555556,0.5592885375494071
left_right,both_mean,5,0.6222222222222222,0.6706349206349206,0.4888888888888889,0.4880952380952381
left_right,both_mean,6,0.6444444444444445,0.7341269841269842,0.7111111111111111,0.7698412698412698
left_right,both_mean,7,0.5555555555555556,0.6225296442687747,0.4888888888888889,0.6047430830039526
left_right,both_mean,8,0.5333333333333333,0.5810276679841897,0.6666666666666666,0.7075098814229249
left_right,both_mean,9,0.4888888888888889,0.5694444444444444,0.6,0.6011904761904762
left_right,both_mean,10,0.6222222222222222,0.7202380952380952,0.5333333333333333,0.5912698412698413
left_right,both_mean,11,0.6222222222222222,0.66600790513834,0.5111111111111111,0.4426877470355731
left_right,both_mean,12,0.6222222222222222,0.6944444444444444,0.7111111111111111,0.7321428571428572
left_right,both_mean,13,0.6666666666666666,0.6699604743083004,0.6444444444444445,0.6561264822134387
left_right,both_mean,14,0.4888888888888889,0.525691699604743,0.5111111111111111,0.48221343873517786
left_right,both_mean,15,0.6,0.7588932806324111,0.7555555555555555,0.8083003952569171
left_right,both_mean,16,0.5111111111111111,0.5731225296442688,0.5333333333333333,0.5889328063241106
left_right,both_mean,17,0.6444444444444445,0.7628458498023716,0.6666666666666666,0.7193675889328063
left_right,both_mean,18,0.7777777777777778,0.8458498023715415,0.7333333333333333,0.8003952569169961
left_right,both_mean,19,0.6,0.6383399209486166,0.5555555555555556,0.5790513833992095
left_right,both_mean,20,0.5777777777777777,0.6936758893280632,0.6222222222222222,0.6818181818181818
rest_vs_activity,encoder_mean,1,0.5666666666666667,0.6246913580246913,0.4888888888888889,0.5101234567901234
rest_vs_activity,encoder_mean,2,0.6888888888888889,0.6918518518518518,0.5,0.47753086419753094
rest_vs_activity,encoder_mean,3,0.6444444444444445,0.634074074074074,0.5,0.5249382716049383
rest_vs_activity,encoder_mean,4,0.9111111111111111,0.9866666666666667,0.7666666666666667,0.8859259259259259
rest_vs_activity,encoder_mean,5,0.7777777777777778,0.8409876543209877,0.4888888888888889,0.4918518518518519
rest_vs_activity,encoder_mean,6,0.6555555555555556,0.7348148148148148,0.5777777777777777,0.5925925925925926
rest_vs_activity,encoder_mean,7,0.7111111111111111,0.7861728395061728,0.6222222222222222,0.6869135802469136
rest_vs_activity,encoder_mean,8,0.7,0.7708641975308642,0.6444444444444445,0.6419753086419753
rest_vs_activity,encoder_mean,9,0.4888888888888889,0.5392592592592593,0.4111111111111111,0.422716049382716
rest_vs_activity,encoder_mean,10,0.6555555555555556,0.7674074074074074,0.5333333333333333,0.5960493827160493
rest_vs_activity,encoder_mean,11,0.7,0.7837037037037037,0.4888888888888889,0.46419753086419757
rest_vs_activity,encoder_mean,12,0.5666666666666667,0.5422222222222222,0.5444444444444444,0.5219753086419753
rest_vs_activity,encoder_mean,13,0.6555555555555556,0.7575308641975309,0.5444444444444444,0.6237037037037036
rest_vs_activity,encoder_mean,14,0.6,0.5990123456790124,0.5222222222222223,0.5308641975308642
rest_vs_activity,encoder_mean,15,0.7777777777777778,0.8730864197530864,0.5888888888888889,0.6311111111111112
rest_vs_activity,encoder_mean,16,0.6777777777777778,0.7209876543209877,0.6111111111111112,0.6000000000000001
rest_vs_activity,encoder_mean,17,0.6777777777777778,0.7787654320987655,0.5555555555555556,0.5703703703703705
rest_vs_activity,encoder_mean,18,0.7111111111111111,0.8987654320987655,0.6666666666666666,0.8651851851851852
rest_vs_activity,encoder_mean,19,0.6666666666666666,0.7293827160493828,0.5333333333333333,0.6083950617283951
rest_vs_activity,encoder_mean,20,0.8777777777777778,0.9619753086419753,0.7888888888888889,0.8765432098765432
rest_vs_activity,predictor_mean,1,0.5666666666666667,0.6538271604938272,0.5555555555555556,0.577283950617284
rest_vs_activity,predictor_mean,2,0.6444444444444445,0.6849382716049384,0.5555555555555556,0.6148148148148147
