checkpoint,task,source,pre_acc,pre_acc_std,pre_auc,rand_acc,rand_auc,delta_pp,delta_auc
clean-lambda-0.3,rest_vs_activity,both_mean,0.6749999999999999,0.09583132042974594,0.7413580246913579,0.6394444444444444,0.6921728395061729,3.5555555555555562,0.049185185185185
clean-lambda-1.0,left_right,encoder_mean,0.6211111111111111,0.08179317487902107,0.6897095959595959,0.5111111111111111,0.5220626293995859,10.999999999999998,0.16764696656001
clean-lambda-1.0,left_right,predictor_mean,0.6055555555555554,0.08008483156574396,0.6232499686304034,0.6,0.6320609040717737,0.5555555555555425,-0.008810935441370349
clean-lambda-1.0,left_right,both_mean,0.6122222222222222,0.07285195541238003,0.6777456239412761,0.6033333333333332,0.6341265920070268,0.8888888888889057,0.04361903193424932
clean-lambda-1.0,rest_vs_activity,encoder_mean,0.6855555555555555,0.09635966575899474,0.751037037037037,0.5677777777777777,0.6067654320987653,11.777777777777775,0.14427160493827162
clean-lambda-1.0,rest_vs_activity,predictor_mean,0.6727777777777777,0.08530808364863478,0.7555555555555555,0.6188888888888888,0.678641975308642,5.3888888888888875,0.07691358024691353
clean-lambda-1.0,rest_vs_activity,both_mean,0.6794444444444443,0.09681820816405748,0.7565925925925925,0.6394444444444444,0.6921728395061729,3.9999999999999925,0.06441975308641956
clean-lambda-10.0,left_right,encoder_mean,0.5833333333333333,0.06735753140545633,0.6323149978041281,0.5111111111111111,0.5220626293995859,7.222222222222219,0.11025236840454222
clean-lambda-10.0,left_right,predictor_mean,0.5722222222222222,0.0837028842962187,0.591698428383211,0.6,0.6320609040717737,-2.777777777777779,-0.04036247568856277
clean-lambda-10.0,left_right,both_mean,0.5933333333333332,0.08107305043090977,0.6380297540623628,0.6033333333333332,0.6341265920070268,-1.0000000000000009,0.003903162055336029
clean-lambda-10.0,rest_vs_activity,encoder_mean,0.6194444444444444,0.08998456657795392,0.66079012345679,0.5677777777777777,0.6067654320987653,5.166666666666664,0.05402469135802468
clean-lambda-10.0,rest_vs_activity,predictor_mean,0.642222222222222,0.09280272452364934,0.699283950617284,0.6188888888888888,0.678641975308642,2.3333333333333206,0.02064197530864198
clean-lambda-10.0,rest_vs_activity,both_mean,0.6238888888888889,0.10311655876413849,0.678,0.6394444444444444,0.6921728395061729,-1.5555555555555434,-0.014172839506172874
clean-lambda-3.0,left_right,encoder_mean,0.6177777777777778,0.06906786785742247,0.6799191448647969,0.5111111111111111,0.5220626293995859,10.666666666666668,0.15785651546521096
clean-lambda-3.0,left_right,predictor_mean,0.5799999999999998,0.06881716696534232,0.6099743553547902,0.6,0.6320609040717737,-2.000000000000013,-0.022086548716983567
clean-lambda-3.0,left_right,both_mean,0.6299999999999999,0.06096953297030644,0.6814884089340612,0.6033333333333332,0.6341265920070268,2.6666666666666727,0.04736181692703434
clean-lambda-3.0,rest_vs_activity,encoder_mean,0.6705555555555555,0.10705225446101163,0.7314567901234567,0.5677777777777777,0.6067654320987653,10.277777777777775,0.12469135802469133
clean-lambda-3.0,rest_vs_activity,predictor_mean,0.6822222222222221,0.1038398577107207,0.7417283950617284,0.6188888888888888,0.678641975308642,6.333333333333324,0.06308641975308638
clean-lambda-3.0,rest_vs_activity,both_mean,0.6749999999999999,0.09980691235123158,0.7305679012345678,0.6394444444444444,0.6921728395061729,3.5555555555555562,0.03839506172839491
clean-s89-30k,left_right,encoder_mean,0.631111111111111,0.06899633198337789,0.6640743616287095,0.5111111111111111,0.5220626293995859,11.99999999999999,0.14201173222912356
clean-s89-30k,left_right,predictor_mean,0.5777777777777777,0.05305482838361478,0.6217654024719242,0.6,0.6320609040717737,-2.2222222222222254,-0.010295501599849488
clean-s89-30k,left_right,both_mean,0.6399999999999999,0.05946261404559845,0.6845575318401405,0.6033333333333332,0.6341265920070268,3.6666666666666736,0.05043093983311364
clean-s89-30k,rest_vs_activity,encoder_mean,0.6711111111111111,0.09456854591534762,0.7479259259259259,0.5677777777777777,0.6067654320987653,10.33333333333334,0.14116049382716056
clean-s89-30k,rest_vs_activity,predictor_mean,0.6744444444444444,0.09415642356613504,0.7497777777777779,0.6188888888888888,0.678641975308642,5.555555555555558,0.07113580246913587
clean-s89-30k,rest_vs_activity,both_mean,0.6722222222222222,0.0911178859269818,0.7500740740740742,0.6394444444444444,0.6921728395061729,3.2777777777777795,0.057901234567901305
clean-large-89-30k,left_right,encoder_mean,0.6588888888888887,0.08263410350290246,0.7012394911851434,0.5111111111111111,0.5220626293995859,14.777777777777768,0.17917686178555747
clean-large-89-30k,left_right,predictor_mean,0.6300000000000001,0.09382805392687041,0.6642704216073781,0.6,0.6320609040717737,3.0000000000000138,0.032209517535604415
clean-large-89-30k,left_right,both_mean,0.6477777777777777,0.08263410350290244,0.7072824518476694,0.6033333333333332,0.6341265920070268,4.444444444444451,0.07315585984064255
clean-large-89-30k,rest_vs_activity,encoder_mean,0.6933333333333334,0.0988451838501521,0.771604938271605,0.5677777777777777,0.6067654320987653,12.555555555555564,0.1648395061728397
clean-large-89-30k,rest_vs_activity,predictor_mean,0.6855555555555555,0.09591019462027364,0.7718271604938272,0.6188888888888888,0.678641975308642,6.666666666666665,0.09318518518518515
clean-large-89-30k,rest_vs_activity,both_mean,0.6955555555555555,0.10222222222222223,0.773925925925926,0.6394444444444444,0.6921728395061729,5.611111111111111,0.0817530864197531
